AS, Prefix, Max Length, Announced/Not Announced, Organization, RIR
16509,54.80.0.0/12,24,Yes,Amazon Technologies Inc.,arin
16509,54.224.0.0/12,24,Yes,Amazon Technologies Inc.,arin
0,80.128.0.0/11,11,Yes,ORG-DTAG1-RIPE,ripe
17676,60.64.0.0/10,10,Yes,ORG-SC4-AP,apnic
17676,60.128.0.0/11,11,Yes,ORG-SC4-AP,apnic
17676,60.128.0.0/12,12,No,ORG-SC4-AP,apnic
17676,126.0.0.0/9,24,Yes,ORG-SC4-AP,apnic
17676,126.160.0.0/11,24,Yes,ORG-SC4-AP,apnic
17676,126.192.0.0/11,24,Yes,ORG-SC4-AP,apnic
17676,126.224.0.0/12,24,Yes,ORG-SC4-AP,apnic
17676,218.112.0.0/12,24,Yes,ORG-SC4-AP,apnic
17676,218.128.0.0/12,12,Yes,ORG-SC4-AP,apnic
17676,219.0.0.0/10,10,Yes,ORG-SC4-AP,apnic
17676,219.0.0.0/11,11,No,ORG-SC4-AP,apnic
17676,219.0.0.0/12,12,No,ORG-SC4-AP,apnic
17676,219.176.0.0/12,12,Yes,ORG-SC4-AP,apnic
17676,219.192.0.0/12,12,Yes,ORG-SC4-AP,apnic
17676,220.0.0.0/10,10,Yes,ORG-SC4-AP,apnic
17676,220.0.0.0/11,11,No,ORG-SC4-AP,apnic
17676,220.0.0.0/12,12,No,ORG-SC4-AP,apnic
17676,221.16.0.0/12,12,Yes,ORG-SC4-AP,apnic
17676,221.32.0.0/11,11,Yes,ORG-SC4-AP,apnic
17676,221.32.0.0/12,12,No,ORG-SC4-AP,apnic
17676,221.64.0.0/11,11,Yes,ORG-SC4-AP,apnic
17676,221.64.0.0/12,12,No,ORG-SC4-AP,apnic
14618,98.80.0.0/12,24,No,Amazon.com  Inc.,arin
14618,35.112.0.0/12,24,No,Amazon Technologies Inc.,arin
7922,67.160.0.0/11,11,Yes,Comcast Cable Communications  LLC,arin
16509,35.96.0.0/12,24,No,Amazon Technologies Inc.,arin
8987,52.192.0.0/12,24,Yes,Amazon Data Services Japan,arin
8987,52.32.0.0/11,24,Yes,Amazon Technologies Inc.,arin
8987,54.192.0.0/12,24,Yes,Amazon.com  Inc.,arin
7922,98.192.0.0/10,10,Yes,Comcast Cable Communications  LLC,arin
51207,37.160.0.0/12,17,Yes,MOBILE-USERS-BLOCK,ripe
15169,34.64.0.0/11,11,Yes,Google Asia Pacific Pte. Ltd.,arin
10796,74.128.0.0/12,12,Yes,Charter Communications Inc,arin
16509,54.240.0.0/12,24,Yes,Amazon Web Services  Inc.,arin
38895,52.32.0.0/11,24,Yes,Amazon Technologies Inc.,arin
45102,43.0.0.0/9,15,No,,apnic
4713,114.144.0.0/12,12,Yes,OCN,apnic
8987,35.112.0.0/12,24,No,Amazon Technologies Inc.,arin
36925,196.112.0.0/12,24,Yes,Mobile_Costumers,afrinic
16509,54.240.0.0/12,24,Yes,Amazon Web Services  Inc.,arin
16509,54.160.0.0/12,24,Yes,Amazon Technologies Inc.,arin
16509,35.96.0.0/12,24,No,Amazon Technologies Inc.,arin
14618,184.32.0.0/12,24,No,Amazon.com  Inc.,arin
1659,140.112.0.0/12,12,Yes,Asia Pacific Network Information Centre,arin
16509,54.192.0.0/12,24,Yes,Amazon.com  Inc.,arin
12322,91.160.0.0/12,12,Yes,TIF-DSL-20060817,ripe
8987,35.96.0.0/12,24,No,Amazon Technologies Inc.,arin
812,99.224.0.0/11,24,Yes,Rogers Communications Canada Inc.,arin
14618,52.0.0.0/11,24,Yes,Amazon Technologies Inc.,arin
8987,54.160.0.0/12,24,Yes,Amazon Technologies Inc.,arin
22773,68.96.0.0/12,12,Yes,Cox Communications Inc.,arin
16509,54.80.0.0/12,24,Yes,Amazon Technologies Inc.,arin
8987,3.64.0.0/10,24,Yes,A100 ROW GmbH,arin
14618,54.160.0.0/12,24,Yes,Amazon Technologies Inc.,arin
51964,57.208.0.0/12,24,No,ORG-ENSI1-RIPE,ripe
8987,3.192.0.0/10,24,Yes,Amazon Technologies Inc.,arin
14618,44.192.0.0/10,24,Yes,Amazon Data Services NoVa,arin
16509,54.144.0.0/12,24,Yes,Amazon Data Services NoVa,arin
31399,53.0.0.0/8,8,Yes,ORG-DA474-RIPE,ripe
