AS, Prefix, Max Length, Announced/Not Announced, Organization, RIR
0,2a0f:3787::/32,32,No,AS13020-rC3-32-FRA,ripe
0,2001:7fa:0:3::/64,128,No,ORG-NCC1-RIPE,ripe
0,2001:502:cbe4::/48,48,No,VeriSign Global Registry Services,arin
0,2a09:9280::/29,29,No,ORG-GSS24-RIPE,ripe
0,2001:504:61::/48,48,No,DE-CIX North America Inc.,arin
0,2001:df5:7880::/48,48,No,ORG-DSPL11-AP,apnic
0,2001:df6:480::/48,48,No,ORG-DAPL7-AP,apnic
0,2001:ddb::/48,48,Yes,ORG-RIEN2-AP,apnic
0,2620:74:11::/48,48,No,VeriSign Infrastructure & Operations,arin
0,2001:df0:203::/48,48,No,IPv6-INDONETWORK-ID,apnic
0,2001:df0:2700::/48,48,No,IDNIC-BPRTIK-ID,apnic
0,2001:df0:7b00::/48,48,No,IDNIC-CLICK-ID,apnic
0,2001:df0:9100::/48,48,No,IDNIC-GARANSINDOINTERGLOBAL-ID,apnic
0,2001:df0:ba80::/48,48,No,IDNIC-DRAGON-ID,apnic
0,2001:df0:f800::/48,48,Yes,IPv6-INFINYS-ID,apnic
0,2001:df1:5100::/48,48,No,IDNIC-UBER-ID,apnic
0,2001:df1:9300::/48,48,No,IDNIC-OTHMARNETWORK-ID,apnic
0,2001:df1:9480::/48,48,No,IDNIC-CLARA-ID,apnic
0,2001:df1:9a80::/48,48,No,IDNIC-ID,apnic
0,2001:df1:ab80::/48,48,No,IDNIC-ATS-ID,apnic
0,2001:df2:e80::/48,48,No,IDNIC-LAS-ID,apnic
0,2001:df2:6a00::/48,48,No,IDNIC-AHLOO-ID,apnic
0,2001:df2:b200::/48,48,No,IDNIC-ICONMEDIANETWORK-ID,apnic
0,2001:df3:2300::/48,48,No,IDNIC-DENSUS-88-ID,apnic
0,2001:df3:4380::/48,48,No,IDNIC-JENID-ID,apnic
0,2001:df3:9d00::/48,48,No,IDNIC-JATIM-ID,apnic
0,2001:df3:dc00::/48,48,No,IDNIC-IBOLZ-ID,apnic
0,2001:df4:e500::/48,48,No,IDNIC-TRIMASINDO-ID,apnic
0,2001:df5:e500::/48,48,No,IDNIC-FINTAX-ID,apnic
0,2001:df6:3200::/48,48,No,IDNIC-ANZ-ID,apnic
0,2001:df6:5f00::/48,48,No,IDNIC-ID,apnic
0,2001:df7:3f00::/48,48,No,IDNIC-EAGLEYE-ID,apnic
0,2001:df7:6900::/48,48,No,IDNIC-SWIFECT-ID,apnic
0,2001:df7:a600::/48,48,No,IDNIC-JAMUZU-ID,apnic
0,2001:df7:b900::/48,48,No,IDNIC-SUFIATV-ID,apnic
0,2400:5040::/32,48,No,BINTANGKOMINDO-ID,apnic
0,2400:8ec0::/32,48,No,RADITA-ID,apnic
0,2401:a300::/32,48,No,AUDIANET-IDNIC-ID-20110803,apnic
0,2401:c940::/32,48,No,PTHCM-ID,apnic
0,2402:480::/32,48,No,BINATELCO-ID,apnic
0,2402:3d80::/32,48,No,SUMATERANET-ID,apnic
0,2402:8ac0::/32,48,No,ISP-ID,apnic
0,2402:9d40::/32,48,No,GOSTNET-ID,apnic
0,2403:1780::/32,48,No,TOPAS-ID,apnic
0,2403:69c0::/32,48,No,NEXUS-ID,apnic
0,2403:7b80::/32,48,No,MERINDO-ID,apnic
0,2404:3580::/32,48,No,CAKRAWALA-ID,apnic
0,2404:7880::/32,48,No,PRONET-ID,apnic
0,2404:8f40::/32,48,No,INTECHMANDIRI-ID,apnic
0,2404:a6c0::/32,48,No,DASAWARSANET-ID,apnic
0,2405:2dc0::/32,48,No,UTARAMEDIANET-ID,apnic
0,2405:3fc0::/32,48,No,PELANGISURYAPERSADA-ID,apnic
0,2405:5840::/32,48,No,LINTASKARSA-ID,apnic
0,2405:9040::/32,48,No,INMEET-ID,apnic
0,2405:9440::/32,48,No,BARNET-ID,apnic
0,2405:9dc0::/32,48,No,KUANTUM-ID,apnic
0,2405:aa40::/32,48,No,STSNET-ID,apnic
0,2405:ab40::/32,48,No,SACT-ID,apnic
0,2405:de40::/32,48,No,INTERNET-ID,apnic
0,2406:5540::/32,48,No,MIT-ID,apnic
0,2406:9880::/32,48,No,JNK-ID,apnic
0,2001:500:30ff::/48,48,No,VeriSign Global Registry Services,arin
0,2620:74:e0::/45,45,No,VeriSign Infrastructure & Operations,arin
0,2001:df6:1a80::/48,48,No,ORG-UNN1-AP,apnic
